feature,coefficient,odds_ratio
review_count_log,1.031008168183524,2.803891204138057
brand_fame_log,0.8404817856286362,2.3174832379788617
discount_rate,-0.6320291850246267,0.5315121694565988
tomorrow_delivery,0.47433518523880625,1.6069455211863355
rating_z_score,0.4692655528433881,1.5988195134544652
is_lowest_price,0.43277417743106683,1.5415280695631686
kw_키보드,-0.34478638245207943,0.7083716579231633
has_option,-0.30949909858001967,0.7338144328732465
kw_사무용 키보드,0.29198787364950346,1.3390867793052068
price,-0.2805059269597849,0.7554014667948384
top_seller,0.258805541078353,1.295381881770649
title_length,-0.2544375387854246,0.7753524810360095
has_brand,0.2531933863471646,1.2881323599609735
is_nobrand,-0.25319338634716454,0.7763177380547268
free_delivery,0.23193545166300433,1.2610383282742446
review_count,0.22864348365994255,1.2568938559249347
cat4_결측,0.21823437524542247,1.2438785678021185
category4_missing,0.21823437524542247,1.2438785678021185
cat4_키패드,-0.21634366669423138,0.8054584450618167
free_return,-0.2051329563381749,0.8145390110874197
kw_게이밍 키보드,0.15961127452986512,1.17305478607843
has_review,-0.1569265613108921,0.8547668294682088
rating,0.14607239517497644,1.1572799665038536
cat4_무선키보드,-0.1377754760109633,0.8712942962570446
price_competitiveness,0.08099308602606024,1.0843633992805586
title_kw_ratio,0.07499609518091517,1.0778799419502454
cat4_유선키보드,0.06723465643019245,1.0695464246762831
cat4_기타,-0.05406483320608392,0.9473706834319358
kw_기계식 키보드,-0.029047973335419364,0.971369863496534
kw_무선 키보드,-0.021756710882451066,0.978478259207916
today_ship,-0.018860628787250276,0.9813161199302678
official_store,0.01726523748879689,1.0174151431779968
kw_in_title,0.008391129587412569,1.0084264337935898
review_missing,0.0,1.0
