feature,coefficient,odds_ratio
review_count_log,1.8167720099424225,6.151967872734707
kw_바퀴 의자,0.5812228956678114,1.788223905440988
rating,0.4138318535416195,1.5126027667019544
brand_fame_log,0.3846592678549348,1.4691136619012244
today_ship,0.36217227832542015,1.436446389223331
is_lowest_price,0.35997615070085953,1.4332952310659934
kw_학생 의자,-0.355690144736325,0.7006896989934537
kw_의자,-0.3034896573755394,0.738237524405792
title_kw_ratio,0.3012407461018851,1.3515346790801228
has_review,-0.2949422006860459,0.7445746221245569
tomorrow_delivery,0.2041051308728879,1.226427082028572
kw_게이밍 의자,0.1948063941816944,1.2150757179871061
has_brand,-0.16882198158718378,0.8446592549028964
is_nobrand,0.16882198158718345,1.1839093624978532
top_seller,0.14120380934388072,1.1516593430024844
cat4_기타,-0.138441823396068,0.8707139049736595
kw_사무용 의자,-0.1244824526924902,0.8829537546915052
cat4_결측,0.11120934908144454,1.1176288569395822
category4_missing,0.11120934908144454,1.1176288569395822
kw_in_title,0.10349686520982468,1.1090423167446601
price,-0.09661374909422912,0.907906618170429
rating_z_score,-0.09612859420384763,0.9083472003729073
cat4_스툴,0.09388395012432549,1.09843226559242
official_store,0.0836724842430481,1.087272736535131
discount_rate,0.08269951248450177,1.0862153653482118
review_count,0.07695451644061468,1.079992953351834
cat4_일반의자,-0.06441064085481292,0.9376198954310533
free_delivery,0.027336888542983027,1.027713969512202
cat4_목받침의자,-0.014370144939804895,0.9857326127896346
cat4_좌식의자,0.013917278110150984,1.014014574267073
free_return,-0.011966149392847469,0.9881051602554253
title_length,-0.005618604910306199,0.994397149929712
price_competitiveness,0.0055677255118801875,1.0055832541018335
has_option,0.0,1.0
review_missing,0.0,1.0
