feature,coefficient
review_count_log,0.13598784070657927
is_lowest_price,0.04978759460222538
brand_fame_log,0.04638414363946823
tomorrow_delivery,0.046093048274031594
kw_사무용 키보드,0.03283118362627578
price,-0.024993706618900727
kw_키보드,-0.01969722117699269
kw_기계식 키보드,-0.01967716019059357
today_ship,0.015330713715800628
has_option,-0.014884193007233454
has_review,-0.014773965551751447
kw_게이밍 키보드,0.014598127732408688
review_count,0.014454712349024653
discount_rate,-0.01361181342307506
rating_z_score,0.01322268362361589
has_brand,-0.009309522568774847
is_nobrand,0.009309522568757207
price_competitiveness,-0.009010760389902324
cat4_키패드,-0.008456572483039819
free_return,-0.007305145578214006
title_length,-0.006951318923988447
cat4_결측,0.005668205464473856
category4_missing,0.005668205464465214
kw_무선 키보드,-0.005004003290327097
free_delivery,0.0048933549517748915
title_kw_ratio,-0.004819046150954129
kw_in_title,0.004806245604411182
rating,0.004285543422825848
official_store,0.004265277101441861
top_seller,-0.0030121035528386454
cat4_무선키보드,-0.002933655971386152
cat4_기타,-0.002922924727929921
cat4_유선키보드,0.0017187654716033665
review_missing,0.0
