keyword,n_total,n_top38,category,F1,ROC-AUC,AP
게이밍 키보드,439,38,키보드,0.37844611528822053,0.8281815450413251,0.4637010961564338
기계식 키보드,414,38,키보드,0.4448484848484848,0.8279549586216254,0.5103268354190428
무선 키보드,452,38,키보드,0.36925647451963234,0.8521615260745695,0.4351909319542006
사무용 키보드,424,38,키보드,0.45966329966329966,0.9168706105479362,0.5679145877067516
키보드,656,38,키보드,0.41024531024531025,0.8464131607335491,0.44053672641647684
